age,PFT_long,relative_mean,s
23,IBS,0.10869128968089277,Control
23,TeBS,0.004127793495335059,Control
23,Tundra,0.5395022814545148,Control
23,otherC,0.16834500401946711,Control
24,BNE,0.16916434682538273,Control
24,IBS,0.11258062666244344,Control
24,TeBS,0.004509071301470587,Control
24,Tundra,0.5250626528440971,Control
24,otherC,0.1718589069933148,Control
25,BNE,0.17550167910445477,Control
25,IBS,0.11682766126861475,Control
25,TeBS,0.004837339366653779,Control
25,Tundra,0.5105572772008641,Control
25,otherC,0.17545164768612148,Control
26,BNE,0.18189287053827713,Control
26,IBS,0.12082769855891078,Control
26,TeBS,0.005140316921551689,Control
26,Tundra,0.4968714317523782,Control
26,otherC,0.1784432868555909,Control
27,BNE,0.18871845176372093,Control
27,IBS,0.12477047993152716,Control
27,TeBS,0.005447671442616574,Control
27,Tundra,0.4841967397022897,Control
27,otherC,0.1800422617865543,Control
28,BNE,0.19464196367815964,Control
28,IBS,0.12915669213490366,Control
28,TeBS,0.005720681781646401,Control
28,Tundra,0.4706369080049914,Control
28,otherC,0.1830193590270077,Control
29,BNE,0.20070187206166049,Control
29,IBS,0.133344911610515,Control
29,TeBS,0.006047561735687145,Control
29,Tundra,0.45756942335321166,Control
29,otherC,0.1855118358656344,Control
30,BNE,0.20641293997302,Control
30,IBS,0.1375723914468999,Control
30,TeBS,0.00632816709459441,Control
30,Tundra,0.44515086715070473,Control
30,otherC,0.18771123896148967,Control
31,BNE,0.2113068834424492,Control
31,IBS,0.14226719480907857,Control
31,TeBS,0.006681883084397048,Control
31,Tundra,0.43324441495746363,Control
31,otherC,0.1896752283333203,Control
32,BNE,0.216966444956926,Control
32,IBS,0.14674815601422359,Control
32,TeBS,0.007055095811470785,Control
32,Tundra,0.42174784585770003,Control
32,otherC,0.19065806198638835,Control
33,BNE,0.22241156686346827,Control
33,IBS,0.1513748378596638,Control
33,TeBS,0.007390701580592161,Control
33,Tundra,0.40935950131450277,Control
33,otherC,0.19263899700848172,Control
34,BNE,0.2275094252389219,Control
34,IBS,0.15620437162059825,Control
34,TeBS,0.00733721281876764,Control
34,Tundra,0.3977937122724879,Control
34,otherC,0.19433088267593301,Control
35,BNE,0.23212634508755953,Control
35,IBS,0.16084599865754728,Control
35,TeBS,0.007702612689999679,Control
35,Tundra,0.3867346757049711,Control
35,otherC,0.1957659724866311,Control
36,BNE,0.23642841542118487,Control
36,IBS,0.1656563459569374,Control
36,TeBS,0.008057226162484922,Control
36,Tundra,0.3757808092847229,Control
36,otherC,0.19725280780137852,Control
37,BNE,0.2410224713024537,Control
37,IBS,0.1703667474025184,Control
37,TeBS,0.008420185154157189,Control
37,Tundra,0.36462085134699673,Control
37,otherC,0.19874534942058267,Control
38,BNE,0.24507316120405134,Control
38,IBS,0.17523152582914417,Control
38,TeBS,0.008682313598350888,Control
38,Tundra,0.3543853315687701,Control
38,otherC,0.19980327242639212,Control
39,BNE,0.24958799018422864,Control
39,IBS,0.17988511525252668,Control
39,TeBS,0.008961785472817126,Control
39,Tundra,0.34329352315165274,Control
39,otherC,0.20144719056548355,Control
40,BNE,0.2536053132921777,Control
40,IBS,0.18437893135136177,Control
40,TeBS,0.009189378232864968,Control
40,Tundra,0.3333877688369273,Control
40,otherC,0.20261421291337697,Control
41,BNE,0.2579391324515916,Control
41,IBS,0.18889077906730137,Control
41,TeBS,0.00948069279712834,Control
41,Tundra,0.3228243092248664,Control
41,otherC,0.20404069108582096,Control
42,BNE,0.261570150100781,Control
42,IBS,0.19349180429321558,Control
42,TeBS,0.009739456046969141,Control
42,Tundra,0.31369842882492305,Control
42,otherC,0.20467576536081994,Control
43,BNE,0.26532309619415523,Control
43,IBS,0.1982013332941726,Control
43,TeBS,0.01002079201923077,Control
43,Tundra,0.3039150717849605,Control
43,otherC,0.20571531133418966,Control
